H;density;SonicSpeed
0;63.1;596
2000;53.4;590
4000;45.18;584
6000;38.23;577.8
8000;32.35;571.4
10000;27.38;565
12000;23.17;556.6
14000;19.6;548.2
16000;16.59;539.8
18000;14.04;531.4
20000;11.88;523
22000;10.05;514.2
24000;8.51;505.4
26000;7.2;496.6
28000;6.09;487.8
30000;5.15;479
32000;4.36;473.8
34000;3.69;468.6
36000;3.12;463.2
38000;2.64;457.6
40000;2.24;452
42000;1.89;443.2
44000;1.6;434.4
46000;1.36;425.4
48000;1.15;416.2
50000;0.97;407
52000;0.82;389
54000;0.7;371
56000;0.59;360.4
58000;0.5;357.2
60000;0.42;354
62000;0.29;350.4
64000;0.2;346.8
66000;0.14;324.6
68000;0.09;283.8
70000;0.06;243
72000;0.04;239.4
74000;0.03;235.8
76000;0.02;232.2
78000;0.01;228.6
80000;0.01;225
90000;0;216
100000;0;214
110000;0;220
120000;0;226
130000;0;232
140000;0;237
150000;0;256
160000;0;272
170000;0;278
180000;0;278
