Mach;Cx;AngAtack;CxA;LD
0;0.52;0;1;0
0.2;0.68;0.01;0.999;0.012
0.4;0.84;0.021;0.998;0.024
0.6;1;0.031;0.996;0.036
0.8;1.16;0.042;0.995;0.048
1;1.32;0.052;0.994;0.06
1.2;1.416;0.063;0.993;0.072
1.4;1.449;0.073;0.992;0.084
1.6;1.481;0.084;0.99;0.096
1.8;1.51;0.094;0.989;0.108
2;1.513;0.105;0.988;0.12
2.2;1.516;0.115;0.987;0.132
2.4;1.518;0.126;0.986;0.144
2.6;1.52;0.136;0.984;0.156
2.8;1.522;0.147;0.983;0.168
3;1.523;0.157;0.982;0.18
3.2;1.524;0.168;0.981;0.192
3.4;1.525;0.178;0.98;0.203
3.6;1.526;0.188;0.978;0.211
3.8;1.527;0.199;0.977;0.22
4;1.529;0.209;0.976;0.228
4.2;1.53;0.22;0.975;0.236
4.4;1.531;0.23;0.974;0.245
4.6;1.532;0.241;0.972;0.253
4.8;1.533;0.251;0.971;0.262
5;1.534;0.262;0.97;0.27
5.2;1.536;0.272;0.969;0.28
5.4;1.537;0.283;0.968;0.289
5.6;1.538;0.293;0.966;0.299
5.8;1.539;0.304;0.965;0.308
6;1.54;0.314;0.964;0.318
6.2;1.541;0.325;0.963;0.328
6.4;1.543;0.335;0.962;0.337
6.6;1.544;0.346;0.96;0.347
6.8;1.545;0.356;0.957;0.354
7;1.546;0.367;0.952;0.36
7.2;1.547;0.377;0.947;0.366
7.4;1.548;0.387;0.942;0.372
7.6;1.55;0.398;0.938;0.378
7.8;1.551;0.408;0.933;0.384
8;1.552;0.419;0.928;0.39
8.2;1.553;0.429;0.923;0.396
8.4;1.554;0.44;0.919;0.401
8.6;1.555;0.45;0.915;0.403
8.8;1.557;0.461;0.912;0.406
9;1.558;0.471;0.908;0.408
9.2;1.559;0.482;0.904;0.41
9.4;1.56;0.492;0.901;0.413
9.6;1.561;0.503;0.897;0.415
9.8;1.562;0.513;0.894;0.418
10;1.563;0.524;0.89;0.42
